Running: max_stable_set (rank=5)
==== max_stable_set TT-IPM Batch Run Started at Tue  2 Jun 12:15:04 BST 2026 ====

▶ Running dim=9 with config=configs/max_stable_set_9.yaml at Tue  2 Jun 12:15:04 BST 2026

===== Processing Rank: 5 =====
Running seed 395
Creating Problem...
===Terminated Graph Sampling=== rank:  [2, 2, 4, 5, 5, 4, 3, 1]
it 000 | main   | XZ  | ineq=not_in_use | mu=4.00e+00 eta=1.00e-03 sigma=5.00e-01 | err c/p/d=5.71e-01/2.55e+02/1.14e+01 | ok=cpd | rmax X/Y/Z/T=1/1/1/-
it 001 | main   | XZ  | ineq=not_in_use | mu=6.91e-01 eta=1.00e-03 sigma=9.36e-02 | err c/p/d=7.51e-02/4.28e+01/3.89e+00 | ok=cpd | rmax X/Y/Z/T=9/7/9/-
it 002 | main   | XZ  | ineq=not_in_use | mu=2.69e-01 eta=1.00e-03 sigma=4.11e-01 | err c/p/d=3.26e-02/1.36e+01/4.97e-01 | ok=cpd | rmax X/Y/Z/T=60/32/35/-
it 003 | main   | AHO | ineq=not_in_use | mu=5.29e-02 eta=1.00e-03 sigma=1.07e-02 | err c/p/d=1.71e-02/2.51e+00/4.20e-01 | ok=cpd | rmax X/Y/Z/T=62/33/36/-
it 004 | main   | AHO | ineq=not_in_use | mu=2.11e-02 eta=1.00e-03 sigma=6.70e-01 | err c/p/d=1.39e-02/4.84e-01/3.54e-01 | ok=cpd | rmax X/Y/Z/T=62/35/37/-
it 005 | main   | AHO | ineq=not_in_use | mu=1.07e-02 eta=1.00e-03 sigma=5.41e-01 | err c/p/d=4.83e-03/2.02e-01/7.19e-02 | ok=cpd | rmax X/Y/Z/T=64/35/38/-
it 006 | main   | AHO | ineq=not_in_use | mu=6.99e-03 eta=1.00e-03 sigma=6.29e-01 | err c/p/d=2.09e-03/1.06e-01/1.72e-02 | ok=cpd | rmax X/Y/Z/T=65/36/39/-
it 007 | repair | XZ  | ineq=not_in_use | mu=3.61e-03 eta=1.00e-03 sigma=5.28e-01 | err c/p/d=8.42e-04/4.92e-02/1.21e-04 | ok=cpD | rmax X/Y/Z/T=65/36/43/-
it 008 | repair | XZ  | ineq=not_in_use | mu=2.47e-03 eta=1.00e-03 sigma=0.00e+00 | err c/p/d=5.18e-04/3.94e-02/5.98e-04 | ok=cpD | rmax X/Y/Z/T=65/52/59/-
it 009 | main   | AHO | ineq=not_in_use | mu=1.73e-03 eta=1.00e-03 sigma=0.00e+00 | err c/p/d=3.40e-04/3.50e-02/1.51e-03 | ok=cpd | rmax X/Y/Z/T=65/56/71/-
it 010 | main   | AHO | ineq=not_in_use | mu=1.78e-03 eta=1.00e-03 sigma=8.24e-01 | err c/p/d=3.46e-04/4.51e-02/1.87e-03 | ok=cpd | rmax X/Y/Z/T=102/83/114/-
