Running: corr_clust (rank=4)
==== corr_clust TT-IPM Batch Run Started at Tue  2 Jun 12:15:04 BST 2026 ====

▶ Running dim=9 with config=configs/corr_clust_9.yaml at Tue  2 Jun 12:15:04 BST 2026

===== Processing Rank: 4 =====
Running seed 295
Creating Problem for dim=9, rank=4...
===Terminated Graph Sampling=== rank:  [2, 2, 3, 4, 3, 3, 2, 2]
===Terminated Graph Sampling=== rank:  [1, 1, 1, 1, 1, 1, 1, 1]
Actual graph TT-rank: [2, 2, 3, 4, 3, 3, 2, 2]
Obj TT-rank: [3, 5, 10, 12, 11, 11, 6, 3]
it 000 | main   | XZ  | ineq=active   | mu=3.54e-01 eta=1.00e-03 sigma=5.00e-01 | err c/p/d=3.57e-03/1.06e+01/1.19e+01 | ok=cpd | rmax X/Y/Z/T=5/1/1/4
it 001 | main   | XZ  | ineq=active   | mu=2.52e-01 eta=1.00e-03 sigma=5.09e-02 | err c/p/d=3.51e-03/7.52e+00/7.45e+00 | ok=cpd | rmax X/Y/Z/T=38/6/13/12
it 002 | main   | XZ  | ineq=active   | mu=3.94e-02 eta=1.00e-03 sigma=5.94e-02 | err c/p/d=3.13e-03/6.23e-01/1.52e+00 | ok=cpd | rmax X/Y/Z/T=125/8/35/31
it 003 | main   | AHO | ineq=active   | mu=6.50e-03 eta=1.00e-03 sigma=2.94e-02 | err c/p/d=1.22e-03/2.48e-01/1.75e-01 | ok=cpd | rmax X/Y/Z/T=128/8/36/33
it 004 | main   | AHO | ineq=active   | mu=6.98e-03 eta=1.00e-03 sigma=6.07e-01 | err c/p/d=9.90e-04/2.30e-02/1.39e-01 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 005 | main   | AHO | ineq=active   | mu=5.75e-03 eta=1.00e-03 sigma=5.91e-01 | err c/p/d=8.14e-04/1.83e-02/1.05e-01 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 006 | main   | AHO | ineq=active   | mu=5.28e-03 eta=1.00e-03 sigma=7.43e-01 | err c/p/d=7.47e-04/1.58e-02/9.12e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 007 | main   | AHO | ineq=active   | mu=5.11e-03 eta=1.00e-03 sigma=8.61e-01 | err c/p/d=7.24e-04/1.40e-02/8.57e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 008 | main   | AHO | ineq=active   | mu=4.98e-03 eta=1.00e-03 sigma=9.14e-01 | err c/p/d=7.07e-04/1.30e-02/8.17e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 009 | main   | AHO | ineq=active   | mu=4.85e-03 eta=1.00e-03 sigma=9.28e-01 | err c/p/d=6.88e-04/1.23e-02/7.76e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 010 | main   | AHO | ineq=active   | mu=4.72e-03 eta=1.00e-03 sigma=9.30e-01 | err c/p/d=6.71e-04/1.17e-02/7.38e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 011 | main   | AHO | ineq=active   | mu=4.61e-03 eta=1.00e-03 sigma=9.34e-01 | err c/p/d=6.55e-04/1.10e-02/7.05e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 012 | main   | AHO | ineq=active   | mu=4.49e-03 eta=1.00e-03 sigma=9.34e-01 | err c/p/d=6.39e-04/1.04e-02/6.74e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 013 | main   | AHO | ineq=active   | mu=4.07e-03 eta=1.00e-03 sigma=7.95e-01 | err c/p/d=5.79e-04/9.75e-03/5.73e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 014 | main   | AHO | ineq=active   | mu=3.90e-03 eta=1.00e-03 sigma=8.75e-01 | err c/p/d=5.55e-04/8.18e-03/5.30e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 015 | main   | AHO | ineq=active   | mu=3.77e-03 eta=1.00e-03 sigma=9.09e-01 | err c/p/d=5.35e-04/7.19e-03/4.96e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 016 | main   | AHO | ineq=active   | mu=3.60e-03 eta=1.00e-03 sigma=9.13e-01 | err c/p/d=5.11e-04/6.56e-03/4.62e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 017 | main   | AHO | ineq=active   | mu=3.06e-03 eta=1.00e-03 sigma=7.57e-01 | err c/p/d=4.35e-04/5.89e-03/3.56e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
