Running: maxcut (rank=1)
==== maxcut TT-IPM Batch Run Started at Tue  2 Jun 12:16:05 BST 2026 ====

▶ Running dim=13 with config=configs/maxcut_13.yaml at Tue  2 Jun 12:16:05 BST 2026

===== Processing Rank: 1 =====
Running seed 83
Creating Problem for dim=13, rank=1...
===Terminated Graph Sampling=== rank:  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
it 000 | main   | XZ  | ineq=not_in_use | mu=1.00e+00 eta=1.00e-03 sigma=5.00e-01 | err c/p/d=6.07e-03/2.19e+01/2.31e+01 | ok=cpd | rmax X/Y/Z/T=1/1/1/-
it 001 | main   | XZ  | ineq=not_in_use | mu=8.99e-02 eta=1.00e-03 sigma=2.11e-03 | err c/p/d=5.23e-03/1.48e+00/1.96e+01 | ok=cpd | rmax X/Y/Z/T=4/3/4/-
it 002 | main   | XZ  | ineq=not_in_use | mu=1.06e-03 eta=1.00e-03 sigma=2.38e-02 | err c/p/d=5.19e-04/6.07e-01/1.72e+01 | ok=cpd | rmax X/Y/Z/T=3/3/4/-
it 003 | main   | AHO | ineq=not_in_use | mu=1.26e-03 eta=1.00e-03 sigma=6.40e-01 | err c/p/d=1.26e-04/4.92e-01/1.42e+01 | ok=cpd | rmax X/Y/Z/T=5/2/4/-
it 004 | main   | AHO | ineq=not_in_use | mu=5.61e-04 eta=1.00e-03 sigma=4.86e-01 | err c/p/d=8.27e-05/4.58e-02/5.31e+00 | ok=Cpd | rmax X/Y/Z/T=8/3/5/-
it 005 | main   | AHO | ineq=not_in_use | mu=5.39e-04 eta=1.00e-03 sigma=0.00e+00 | err c/p/d=8.22e-05/3.74e-03/3.27e+00 | ok=Cpd | rmax X/Y/Z/T=8/3/5/-
it 006 | main   | AHO | ineq=not_in_use | mu=5.14e-04 eta=1.00e-03 sigma=0.00e+00 | err c/p/d=7.54e-05/4.45e-04/2.53e+00 | ok=CPd | rmax X/Y/Z/T=8/2/5/-
it 007 | main   | AHO | ineq=not_in_use | mu=5.03e-04 eta=1.00e-03 sigma=0.00e+00 | err c/p/d=7.13e-05/4.73e-04/1.05e+00 | ok=CPd | rmax X/Y/Z/T=8/3/5/-
it 008 | main   | AHO | ineq=not_in_use | mu=4.99e-04 eta=9.99e-04 sigma=0.00e+00 | err c/p/d=7.00e-05/4.84e-04/3.67e-01 | ok=CPd | rmax X/Y/Z/T=8/3/5/-
it 009 | main   | AHO | ineq=not_in_use | mu=4.99e-04 eta=9.99e-04 sigma=0.00e+00 | err c/p/d=6.98e-05/4.87e-04/1.84e-02 | ok=CPd | rmax X/Y/Z/T=8/3/5/-
it 010 | main   | AHO | ineq=not_in_use | mu=4.99e-04 eta=9.99e-04 sigma=0.00e+00 | err c/p/d=6.98e-05/4.88e-04/9.18e-04 | ok=CPd | rmax X/Y/Z/T=8/3/5/-
it 011 | finish | AHO | ineq=not_in_use | mu=4.99e-04 eta=9.99e-04 sigma=0.00e+00 | err c/p/d=6.98e-05/4.89e-04/4.69e-05 | ok=CPD | rmax X/Y/Z/T=8/3/5/-
it 012 | finish | AHO | ineq=not_in_use | mu=3.18e-04 eta=6.35e-04 sigma=0.00e+00 | err c/p/d=4.14e-05/6.75e-04/2.96e-05 | ok=CpD | rmax X/Y/Z/T=8/3/5/-
it 013 | finish | AHO | ineq=not_in_use | mu=1.25e-04 eta=2.49e-04 sigma=0.00e+00 | err c/p/d=1.55e-05/5.38e-04/3.16e-06 | ok=CPD | rmax X/Y/Z/T=8/3/5/-
it 014 | finish | AHO | ineq=not_in_use | mu=6.39e-06 eta=1.00e-04 sigma=0.00e+00 | err c/p/d=7.16e-07/4.00e-04/1.65e-06 | ok=CPD | rmax X/Y/Z/T=8/3/5/-
